STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/22/2018,0.4,,,54
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/23/2018,0,,,52
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/24/2018,0.14,,,45
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/25/2018,0.01,,,40
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/26/2018,0,,,46
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/27/2018,0,,,49
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/28/2018,0,,,53
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/29/2018,0,,,58
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/30/2018,0,,,64
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/31/2018,0,,,62
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/1/2018,0,,,62
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/2/2018,0,,,62
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/3/2018,0.01,,,53
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/4/2018,0,,,47
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/5/2018,0,,,52
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/6/2018,0,,,58
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/7/2018,0.79,,,51
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/8/2018,1.26,,,52
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/9/2018,0,,,51
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/10/2018,0,,,55
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/11/2018,0,,,63
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/12/2018,0,,,70
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/13/2018,0.21,,,64
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/14/2018,0.4,,,41
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/15/2018,0,,,53
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/16/2018,0,,,64
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/17/2018,0,,,65
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/18/2018,0.44,,,41
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/19/2018,0,,,53
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/20/2018,0,,,64
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/21/2018,0.12,,,54
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/22/2018,0,,,64
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/23/2018,0,,,71
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/24/2018,0,,,62
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/25/2018,0,,,61
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/26/2018,0,,,68
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/27/2018,0,,,71
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/28/2018,0,,,79
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/29/2018,0,,,78
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,4/30/2018,0,,,60
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/1/2018,1.13,,,47
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/2/2018,0.9,,,48
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/3/2018,0,,,61
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,5/4/2018,0,,,69
